masv,ho,ten,gioitinh,ngaysinh,email,didong,cmnd,hocbong,makh
C0001,Khương Thảo,Loan,False,1999-01-04 00:00:00,ktloan@gmail.com,0987314518          ,586900775484,2000000,CN
C0002,Đặng Bạch,Ngọc,True,1999-11-11 00:00:00,dbngoc@gmail.com,0987587327          ,274387352269,0,CN
C0003,Phạm Văn Minh,Thiện,True,1999-11-23 00:00:00,pvmthien@gmail.com,0987858734          ,835772714136,0,CN
C0004,Đinh Thị Thanh,Dung,False,1999-01-19 00:00:00,dttdung@gmail.com,0987508413          ,373064334392,1000000,CN
C0005,Trần Mạnh,Thiện,True,1999-08-19 00:00:00,tmthien@gmail.com,0987579776          ,233384596844,1000000,CN
C0006,Trần Văn Minh,Hiệu,True,1999-12-12 00:00:00,tvmhieu@gmail.com,0168595875          ,065746412487,1000000,CN
C0007,Lê Thị,Mai,False,1999-09-13 00:00:00,ltmai@gmail.com,0168116548          ,123537817134,2000000,CN
C0008,Bạch Vĩnh,Tuấn,True,1999-06-08 00:00:00,bvtuan@gmail.com,0987682839          ,643872714468,1000000,CN
C0009,Thái Thị Thanh,Nhung,False,1999-07-18 00:00:00,tttnhung@gmail.com,0913555665          ,943138244683,0,CN
C0010,Khương Văn Minh,Trọng,True,1999-10-01 00:00:00,kvmtrong@gmail.com,0913557276          ,548347163939,2000000,CN
C0011,Hoàng Thảo,Thúy,False,1999-12-07 00:00:00,htthuy@gmail.com,0987337162          ,948793354375,1000000,CN
C0012,Mã Vĩnh,Thiệu,True,1999-10-09 00:00:00,mvthieu@gmail.com,0168135829          ,522178884206,3000000,CN
C0013,Nguyễn Minh,Thu,False,1999-07-18 00:00:00,nmthu@gmail.com,0168591321          ,455733571868,1000000,CN
C0014,Khương Thị,Ly,False,1999-02-11 00:00:00,ktly@gmail.com,0987712052          ,454614611224,0,CN
C0015,Vương Thị Thanh,Loan,False,1999-03-12 00:00:00,vttloan@gmail.com,0913722185          ,360627878957,1000000,CN
C0016,Nguyễn Thảo,Trang,False,1999-09-11 00:00:00,nttrang@gmail.com,0987514786          ,219366710413,1000000,CN
C0017,Lê Thị Thảo,Đào,False,1999-12-27 00:00:00,lttdao@gmail.com,0987489713          ,434775158867,2000000,CN
C0018,Mã Thảo,Lan,False,1999-02-07 00:00:00,mtlan@gmail.com,0168975412          ,529235332621,1000000,CN
C0019,Thái Ngọc,Mỹ,True,1999-02-24 00:00:00,tnmy@gmail.com,0913595747          ,547026826518,1000000,CN
C0020,Phạm Bạch,Minh,True,1999-10-03 00:00:00,pbminh@gmail.com,0168151138          ,367172436369,1000000,CN
C0021,Vương Vĩnh,Hòa,True,1999-01-03 00:00:00,vvhoa@gmail.com,0987334366          ,661854084622,3000000,CN
C0022,Lý Phú,Ngọc,True,1999-05-14 00:00:00,lpngoc@gmail.com,0987465869          ,528385466287,2000000,CN
